stock_id,supplier_id,qty,sprice,pprice,mrp,tax,decision
41006,106,12,16.4,181.56,20,18,1
41007,106,6,12.3,69.36,15,18,1
41008,106,3,24.6,69.33,30,18,1
41009,106,6,8.2,45.42,10,18,1
41010,106,6,24.6,138.66,30,18,1
41011,106,6,12.3,69.36,15,18,1
41012,106,6,12.3,69.36,15,18,1
41013,106,12,28.5,306.12,30,5,1
41014,106,14,8.2,107.8,10,18,1
41015,106,6,12.3,69.36,15,18,1
41016,106,6,12.3,69.36,15,18,1
41017,106,12,8.2,92.4,10,18,1
41018,106,6,24.6,136.8,30,18,1
41019,106,6,16.4,90.78,20,18,1
41020,106,12,8.2,92.4,10,18,1
41021,106,12,8.2,92.4,10,18,1
41022,106,12,8.2,92.4,10,18,1
41023,106,12,8.2,92.4,10,18,1
41024,106,20,8.2,154,10,18,1
41041,245,12,35.2,336,40,12,1
41042,144,3,30,75,30,0,1
41043,144,4,33,112,33,0,1
41044,144,2,40,70,40,0,1
41045,132,6,30,150,30,0,1
41046,132,2,18,30,18,0,1
41047,132,4,38,136,40,5,1
41048,132,3,33.25,84,35,5,1
41049,103,100,30,2200,30,0,1
41055,113,40,18,710,18,0,1
41056,113,30,20,592.5,20,0,1
41057,113,4,22,86,22,0,1
41058,113,4,21,83,21,0,1
41059,113,10,20,195,20,0,1
41060,113,10,11,105,11,0,1
41066,172,5,50,200,50,0,1
41068,180,5,52.25,214.3,55,5,1
41069,72,66,36,1584,36,0,1
41070,53,15,26.4,345,30,12,1
41071,53,5,26.4,115,30,12,1
41072,53,6,52.8,276,60,12,1
41073,53,4,52.8,184,60,12,1
41074,53,5,26.4,115,30,12,1
41075,53,3,70.4,183,80,12,1
41076,53,3,70.4,183,80,12,1
41077,85,10,8.2,72.1,10,18,1
41078,85,10,8.2,72.1,10,18,1
41079,85,10,8.2,72.1,10,18,1
41080,85,10,8.2,72.1,10,18,1
41081,85,3,198.55,595.05,209,5,1
41082,85,4,101.65,488.96,107,5,1
41083,84,2,113.05,260.7,119,5,0
41084,84,3,50.35,128.73,53,5,0
41085,84,5,76,323.85,80,5,0
41086,85,12,20.9,213.72,22,5,1
41087,85,2,135.3,223.74,165,18,1
41088,85,1,135.3,111.87,165,18,1
41089,85,2,87.12,141.44,99,12,1
41090,85,2,69.52,141.44,79,12,1
41091,85,2,87.12,141.44,99,12,1
41092,118,3,102.5,286.08,125,18,1
41093,118,15,24.6,317.85,30,18,1
41094,118,15,24.6,317.85,30,18,1
41095,118,3,188.6,508.47,230,18,1
41096,118,3,131.2,338.97,160,18,1
41097,118,3,131.2,338.97,160,18,1
41098,118,3,131.2,338.97,160,18,1
41099,118,3,149.6,398.28,170,12,1
41100,26,15,57.4,762.6,70,18,1
41101,26,15,53.3,699.15,65,18,1
41102,144,1,25,21,25,0,1
41103,144,2,30,50,30,0,1
41104,144,3,30,75,30,0,1
41105,144,3,18,45,18,0,1
41106,144,4,33,112,33,0,1
41107,132,4,30,100,30,0,1
41108,132,2,18,30,18,0,1
41109,132,5,38,170,40,5,1
41110,221,12,8.8,93.72,10,12,1
41111,221,12,8.8,93.72,10,12,1
41112,221,12,8.8,93.72,10,12,1
41113,221,12,8.8,93.72,10,12,1
41114,221,12,8.8,93.72,10,12,1
41115,221,12,8.8,93.72,10,12,1
41116,221,12,8.8,93.72,10,12,1
41117,221,12,8.8,93.72,10,12,1
41118,221,15,17.6,227.55,20,12,1
41119,221,15,17.6,227.55,20,12,1
41120,221,10,17.6,151.7,20,12,1
41121,221,10,17.6,151.7,20,12,1
41122,221,10,17.6,151.7,20,12,1
41123,226,24,8.2,168,10,18,1
41124,226,24,8.2,168,10,18,1
41125,226,20,4.1,67.8,5,18,1
41126,226,6,36.9,183,45,18,1
41127,226,3,36.9,91.5,45,18,1
41128,226,3,36.9,91.5,45,18,1
41129,226,6,36.9,183,45,18,1
41130,226,6,36.9,183,45,18,1
41131,226,12,8.2,84,10,18,1
41132,226,12,4.1,40.8,5,18,1
41133,226,12,8.2,78.36,10,18,1
41134,226,6,22.14,105.6,27,18,1
41135,226,15,8.8,107.25,10,12,1
41136,226,15,8.8,107.25,10,12,1
41137,226,72,8.8,532.8,10,12,1
41138,247,3,34.2,84,36,5,1
41139,247,3,34.2,90,36,5,1
41140,247,3,34.2,84,36,5,1
41141,247,3,34.2,84,36,5,1
41142,247,3,34.2,84,36,5,1
41143,247,3,34.2,84,36,5,1
41144,247,3,38,90,40,5,1
41145,247,3,25.65,60,27,5,1
41146,247,3,34.2,84,36,5,1
41147,247,3,35.15,81,37,5,1
41148,247,3,35.15,81,37,5,1
41149,266,18,80,1116,80,0,1
41150,247,3,25.65,60,27,5,1
41151,0,0,0,0,0,5,1
41152,247,3,71.25,171,75,5,1
41153,247,3,34.2,84,36,5,1
41154,247,3,34.2,84,36,5,1
41155,266,20,48.45,712.6,51,5,1
41156,247,3,35.15,81,37,5,1
41157,247,3,35.15,81,37,5,1
41158,266,10,20.9,142.5,22,5,1
41159,247,3,35.15,81,37,5,1
41160,187,1,213.2,183.62,260,18,1
41161,187,1,172.2,148.31,210,18,1
41162,187,1,172.2,148.31,210,18,1
41163,187,1,172.2,148.31,210,18,1
41164,187,1,172.2,148.31,210,18,1
41165,187,12,28.7,296.64,35,18,1
41166,187,12,32.8,339,40,18,1
41167,187,8,45.1,310.72,55,18,1
41168,187,1,172.2,148.31,210,18,1
41169,187,12,32.8,339,40,18,1
41170,187,1,163.18,140.53,199,18,1
41171,187,1,233.7,201.27,285,18,1
41172,187,20,28.7,494.4,35,18,1
41173,187,25,20.5,441.5,25,18,1
41174,187,20,16.4,282.6,20,18,1
41175,187,30,8.2,211.8,10,18,1
41176,187,25,8.2,176.5,10,18,1
41177,187,25,16.4,353.25,20,18,1
41178,187,25,8.2,176.5,10,18,1
41179,187,25,8.2,176.5,10,18,1
41180,187,1,213.2,183.62,260,18,1
41181,187,1,209.1,180.09,255,18,1
41182,88,10,46,350,46,0,1
41183,104,1,573.18,474,699,18,1
41184,104,3,469.04,1020,572,18,1
41185,104,3,703.56,1527,858,18,1
41186,104,6,95.92,510,109,12,1
41187,104,6,69.52,372,79,12,1
41188,104,12,47.52,504,54,12,1
41189,58,24,23.75,516.96,25,5,1
41190,145,6,142.5,728.58,150,5,1
41191,145,2,159.9,280.94,195,18,1
41192,145,3,57.4,151.26,70,18,1
41193,205,4,156.64,529.72,178,12,1
41194,28,3,94.3,289.92,115,18,1
41195,28,3,114.8,289.92,140,18,1
41196,28,1,114.8,96.64,140,18,1
41197,28,2,114.8,193.28,140,18,1
41199,28,3,106.6,295.83,130,18,1
41200,28,3,73.8,242.67,90,18,1
41201,28,3,106.6,293.52,130,18,1
41202,28,2,65.6,115.56,80,18,1
41203,28,3,57.4,154.86,70,18,1
41204,205,6,154,781.26,175,12,1
41205,28,3,106.6,278.76,130,18,1
41206,28,3,106.6,288.93,130,18,1
41207,28,3,53.3,145.59,65,18,1
41208,28,3,57.4,157.17,70,18,1
41209,28,3,20.5,57.81,25,18,1
41210,28,2,73.8,143.3,90,18,1
41211,28,2,102.5,178.4,125,18,1
41212,28,2,61.5,104.06,75,18,1
41213,28,3,61.5,168.72,75,18,1
41214,28,6,24.6,134.04,30,18,1
41215,28,3,57.4,157.17,70,18,1
41216,18,12,28.5,312,30,5,1
41217,28,6,36.9,203.4,45,18,1
41218,28,6,53.3,291.18,65,18,1
41219,28,3,57.4,157.17,70,18,1
41220,18,24,16.4,370.08,20,18,1
41221,18,12,16.4,185.04,20,18,1
41222,263,12,32.8,335.52,40,18,1
41223,263,10,23.75,190.5,25,5,1
41224,18,12,20.5,231.36,25,18,1
41225,18,12,25.65,280.8,27,5,1
41226,18,12,28.7,323.76,35,18,1
41227,18,20,28.7,539.6,35,18,1
41228,18,24,28.7,640.56,35,18,1
41229,18,6,23.75,129.96,25,5,1
41230,18,12,20.5,231.36,25,18,1
41231,18,6,28.7,162,35,18,1
41232,18,12,24.6,277.56,30,18,1
41233,18,12,24.6,277.56,30,18,1
41234,74,15,12,162,12,0,1
41235,74,20,40.48,752.4,46,12,1
41236,74,1,198,184.02,225,12,1
41237,74,6,20.9,111.9,22,5,1
41238,74,2,82,122.78,100,18,1
41239,33,12,156.75,1762.32,165,5,1
41240,74,2,82,122.04,100,18,1
41241,33,1,156.75,0,165,5,1
41242,74,5,98.4,454.05,120,18,1
41243,74,10,19,169.5,20,5,1
41244,74,10,19,169.5,20,5,1
41245,74,10,19,169.5,20,5,1
41246,33,1,171,160.2,180,5,1
41247,74,10,19,169.5,20,5,1
41248,33,2,850.25,1593.22,895,5,1
41249,33,2,123.5,231.42,130,5,1
41250,74,2,15,27,15,0,1
41251,74,10,103.84,967.2,118,12,1
41252,74,10,60.72,565.6,69,12,1
41253,33,2,142.5,267.02,150,5,1
41254,74,1,220,204.91,250,12,1
41255,74,2,95.04,177.04,108,12,1
41256,33,1,759.05,634.12,799,5,1
41257,74,2,70.4,131.42,80,12,1
41258,74,1,70.4,65.71,80,12,1
41259,33,2,616.55,1268.24,649,5,1
41260,74,2,70.4,131.42,80,12,1
41261,74,1,70.4,65.71,80,12,1
41262,33,1,1044.05,594.845,1099,5,1
41263,74,15,66.5,825,70,5,1
41264,33,1,1044.05,594.845,1099,5,1
41265,74,15,38,471.45,40,5,1
41266,74,3,39.9,107.1,42,5,1
41267,74,3,44.65,119.85,47,5,1
41268,33,0,0,0,0,0,1
41269,74,3,21.85,58.65,23,5,1
41270,74,3,21.85,58.65,23,5,1
41271,74,6,24.6,158.4,30,18,1
41272,74,5,82.72,384.4,94,12,1
41273,74,5,41.36,192.2,47,12,1
41274,33,2,1424.05,2379.36,1499,5,1
41275,74,6,38,171.42,40,5,1
41276,74,15,57,795.15,57,0,1
41277,33,2,617.5,591,650,5,1
41278,74,20,8.2,127.2,10,18,1
41279,74,12,17.6,193.92,20,12,1
41280,74,2,94.3,155.94,115,18,1
41281,33,1,759.05,0.01,799,5,1
41282,74,2,114.8,189.84,140,18,1
41283,74,2,114.8,189.84,140,18,1
41284,74,2,123,190.58,150,18,1
41285,267,12,26.4,257.04,30,12,1
41286,267,12,26.4,257.04,30,12,1
41287,267,12,19,182.76,20,5,1
41288,267,12,19,182.76,20,5,1
41289,267,12,19,182.856,20,5,1
41290,267,12,14.08,171.36,16,12,1
41291,267,12,17.6,171.36,20,12,1
41292,267,12,17.6,171.36,20,12,1
41293,267,12,17.6,171.36,20,12,1
41294,267,10,44,357.1,50,12,1
41295,267,10,44,357.1,50,12,1
41296,267,10,44,357.1,50,12,1
41297,24,1,52.8,42.86,60,12,1
41298,267,10,35.2,285.7,40,12,1
41299,24,1,52.8,42.86,60,12,1
41300,24,1,52.8,42.86,60,12,1
41301,267,10,35.2,285.7,40,12,1
41302,24,2,176,285.72,200,12,1
41303,267,10,38,304.7,40,5,1
41304,24,2,164,271.18,200,18,1
41305,267,10,35.2,285.7,40,12,1
41306,267,10,35.2,285.7,40,12,1
41307,24,12,17.6,171.48,20,12,1
41308,24,12,17.6,171.48,20,12,1
41309,24,1,52.8,42.86,60,12,1
41310,24,6,35.2,171.42,40,12,1
41311,24,1,52.8,42.86,60,12,1
41312,24,1,52.8,42.86,60,12,1
41313,24,0,0,0,0,0,1
41314,24,1,52.8,42.86,60,12,1
41315,163,12,133,1371.36,140,5,1
41316,163,10,188.1,1857.1,198,5,1
41317,163,20,94.05,1866.6,99,5,1
41318,163,2,997.5,1333.3,1050,5,1
41319,146,12,21.32,247.2,26,18,1
41320,146,6,26,0,26,0,1
41321,146,20,32.8,608.6,40,18,1
41322,146,30,4.1,113.4,5,18,1
41323,146,30,4.1,105.9,5,18,1
41324,146,6,24.6,136.26,30,18,1
41325,231,12,23.76,240.96,27,12,1
41326,231,6,51.92,257.1,59,12,1
41327,231,6,14.96,67.5,17,12,1
41328,231,6,19.36,93.72,22,12,1
41329,231,6,19.36,93.72,22,12,1
41330,231,6,19.36,93.72,22,12,1
41331,231,6,42.24,192.84,48,12,1
41332,231,6,42.24,205.68,48,12,1
41333,231,6,42.24,192.84,48,12,1
41334,24,2,176,285.72,200,12,1
41335,24,3,78.32,148.5,89,12,1
41336,24,3,78.32,190.71,89,12,1
41337,24,3,76.56,186.42,87,12,1
41338,24,3,76.56,186.42,87,12,1
41339,24,3,76.56,186.42,87,12,1
41340,24,3,76.56,186.42,87,12,1
41341,24,2,76.56,124.28,87,12,1
41342,24,2,76.56,124.28,87,12,1
41343,24,2,76.56,124.28,87,12,1
41344,24,2,76.56,124.28,87,12,1
41345,24,2,76.56,124.28,87,12,1
41346,24,2,76.56,124.28,87,12,1
41347,24,5,76.56,310.7,87,12,1
41348,24,3,105.6,210,120,12,1
41349,24,3,67.76,165,77,12,1
41350,24,2,164,271.18,200,18,1
41351,24,2,164,271.18,200,18,1
41352,40,15,17,221.25,17,0,1
41353,40,3,23.75,58.89,25,5,1
41354,40,5,23.75,98.15,25,5,1
41355,40,10,23.75,196.3,25,5,1
41356,40,10,23.75,196.3,25,5,1
41357,58,100,21.85,2019,23,5,1
41358,58,120,9.5,1052.4,10,5,1
41359,58,60,5.7,316.2,6,5,1
41360,58,48,23.75,1038.72,25,5,1
41361,58,20,22.8,422.4,24,5,1
41362,58,24,23.75,516.96,25,5,1
41363,58,25,61.75,1289.75,65,5,1
41364,58,2,193.6,350.76,220,12,1
41365,58,2,32.8,122.08,40,18,1
41366,58,2,40,0,40,0,1
41367,58,3,49.2,136.2,60,18,1
41368,58,3,396,1068.51,450,12,1
41369,58,6,198,1068.48,225,12,1
41370,58,6,84.48,456.6,96,12,1
41371,58,3,86.24,233.16,98,12,1
41372,58,3,206.8,558.6,235,12,1
41373,58,3,66.5,181.8,70,5,1
41374,40,10,23.75,196.3,25,5,1
41375,40,10,23.75,196.3,25,5,1
41376,40,10,23.75,196.3,25,5,1
41377,40,1,190,161.9,200,5,1
41378,40,1,190,161.9,200,5,1
41379,40,30,14,367.5,14,0,1
41380,40,30,34,922.5,34,0,1
41381,40,15,30,390.9,30,0,1
41382,40,12,60,618,60,0,1
41383,40,2,115,200,115,0,1
41384,40,2,60,103,60,0,1
41385,40,6,33.25,174.84,35,5,1
41386,40,4,33.25,116.56,35,5,1
41387,40,2,122.32,215.94,139,12,1
41388,40,4,122.32,431.88,139,12,1
41389,40,4,105.6,372.84,120,12,1
41390,40,10,44,406.3,50,12,1
41391,40,3,47.52,121.89,54,12,1
41392,40,1,105.6,91.89,120,12,1
41393,40,1,66.5,57.75,70,5,1
41394,40,10,36.1,314.9,38,5,1
41395,40,15,85.5,1028.7,90,5,1
41396,40,15,33.44,0,38,12,1
41397,24,2,176,285.72,200,12,1
41398,24,2,237.6,385.72,270,12,1
41399,24,1,237.6,192.86,270,12,1
41400,24,2,176.3,291.52,215,18,1
41401,24,3,57.2,139.29,65,12,1
41402,24,3,66,160.71,75,12,1
41403,24,3,121.44,295.71,138,12,1
41404,24,3,351.12,888,399,12,1
41405,24,3,351.12,888,399,12,1
41406,24,6,26.4,128.58,30,12,1
41407,24,6,30.8,150,35,12,1
41408,54,2,162.8,247.76,185,12,1
41409,54,3,96.8,235.71,110,12,1
41410,54,3,96.8,235.71,110,12,1
41411,54,2,154,250,175,12,1
41412,54,2,154,250,175,12,1
41413,54,2,193.6,294.64,220,12,1
41414,54,2,198,301.34,225,12,1
41415,54,2,198,301.34,225,12,1
41416,54,2,162.8,247.76,185,12,1
41417,54,3,96.8,235.71,110,12,1
41418,54,3,154,375,175,12,1
41419,54,2,162.8,247.76,185,12,1
41420,54,2,167.2,271.42,190,12,1
41421,54,2,167.2,271.42,190,12,1
41422,54,2,167.2,271.42,190,12,1
41423,54,2,193.6,294.64,220,12,1
41424,54,3,105.6,257.13,120,12,1
41425,54,3,83.6,203.58,95,12,1
41426,54,2,665,1000,700,5,1
41427,54,2,427.5,642.86,450,5,1
41428,54,6,44,214.26,50,12,1
41429,54,6,44,214.26,50,12,1
41430,31,12,20,99.96,20,0,1
41431,31,12,20,99.96,20,0,1
41432,31,3,90,180,90,0,1
41433,31,20,30,220,30,0,1
41434,31,10,18,80,18,0,1
41435,31,20,12,104,12,0,1
41436,31,10,25,120,25,0,1
41437,31,20,20,240,20,0,1
41438,31,10,20,100,20,0,1
41439,31,10,38,180,38,0,1
41440,31,18,20,259.92,20,0,1
41441,31,10,23,120,23,0,1
41442,178,12,45,240,45,0,1
41443,259,5,210,925,210,0,1
41444,120,4,105,308,105,0,1
41445,268,3,60,150,60,0,1
41446,268,9,35,270,35,0,1
41447,268,3,30,60,30,0,1
41448,268,6,25,120,25,0,1
41449,268,3,25,60,25,0,1
41450,268,3,25,60,25,0,1
41451,268,3,30,75,30,0,1
41452,268,3,20,51,20,0,1
41453,268,6,40,204,40,0,1
41454,268,6,40,204,40,0,1
41455,215,12,28,240,28,0,1
41456,215,20,45,600,45,0,1
41457,215,60,12,600,12,0,1
41458,163,25,30,550,30,0,1
41459,145,3,85.5,473.58,90,5,1
41460,145,3,199.5,510,210,5,1
41461,145,3,90.25,230.7,95,5,1
41462,145,3,199.5,510,210,5,1
41463,145,3,90.25,230.7,95,5,1
41464,21,5,38,133.35,40,5,1
41465,21,5,28.5,100,30,5,1
41466,21,5,28.5,116.65,30,5,1
41467,144,1,30,25,30,0,1
41468,144,1,30,25,30,0,1
41469,144,3,18,45,18,0,1
41470,144,5,33,140,33,0,1
41471,144,2,40,70,40,0,1
41472,240,10,47.5,380.9,50,5,1
41473,240,10,47.5,380.9,50,5,1
41474,71,8,66.5,464,70,5,1
41475,71,3,123.5,330,130,5,1
41476,71,2,76,128,80,5,1
41477,71,8,50,320,50,0,1
41478,71,50,36,1260,36,0,1
41479,144,1,30,25,30,0,1
41480,144,3,33,84,33,0,1
41481,144,2,25,42,25,0,1
41482,144,2,40,70,40,0,1
41483,132,7,30,175,30,0,1
41484,132,3,18,45,18,0,1
41485,132,5,33.25,140,35,5,1
41486,132,4,30,100,30,0,1
41487,132,2,18,30,18,0,1
41488,71,8,66.5,464,70,5,1
41489,71,5,57,250,60,5,1
41490,144,4,30,100,30,0,1
41491,144,4,30,100,30,0,1
41492,144,2,33,56,33,0,1
41493,144,1,25,21,25,0,1
41494,26,10,57.4,508.4,70,18,1
41495,26,10,53.3,466.1,65,18,1
41496,54,3,65.6,176.13,80,18,1
41497,18,24,8.2,185.04,10,18,1
41498,18,12,24.6,277.56,30,18,1
41499,18,24,16.4,554.88,20,18,1
41500,54,3,49.2,132.108,60,18,1
41501,54,6,49.2,268.998,60,18,1
41502,54,12,20.5,220.224,25,18,1
41503,54,15,8.2,113.55,10,18,1
41504,54,12,16.4,176.28,20,18,1
41505,54,6,41,226.98,50,18,1
41506,54,18,24.6,408.6,30,18,1
41507,18,12,8.2,92.52,10,18,1
41508,18,12,8.2,93,10,18,1
41509,18,12,28.7,323.76,35,18,1
41510,54,6,28.7,158.88,35,18,1
41511,18,12,8.2,92.52,10,18,1
41512,54,16,20.5,293.632,25,18,1
41513,18,24,16.4,370.08,20,18,1
41514,18,30,4.1,115.5,5,18,1
41515,54,24,8.2,176.208,10,18,1
41516,54,24,8.2,176.16,10,18,1
41517,18,30,4.1,115.5,5,18,1
41518,54,24,16.4,358.728,20,18,1
41519,54,12,24.6,264.228,30,18,1
41520,54,24,8.2,176.208,10,18,1
41521,18,30,4.1,115.5,5,18,1
41522,18,12,20.5,231.36,25,18,1
41523,18,12,8.2,92.52,10,18,1
41524,18,12,4.1,46.32,5,18,1
41525,54,18,24.6,396.324,30,18,1
41526,54,12,20.5,227.04,25,18,1
41527,18,12,12.3,138.84,15,18,1
41528,54,24,4.1,89.616,5,18,1
41529,54,12,8.2,92.4,10,18,1
41530,18,24,4.1,92.64,5,18,1
41531,54,12,8.2,90.84,10,18,1
41532,54,30,4.1,109.98,5,18,1
41533,18,24,9.5,207.36,10,5,1
41534,18,24,8.2,185.04,10,18,1
41535,54,6,8.2,44.04,10,18,1
41536,18,12,24.6,277.56,30,18,1
41537,54,24,4.1,90.72,5,18,1
41538,54,6,28.7,154.11,35,18,1
41539,18,12,8.2,92.52,10,18,1
41540,18,12,18.04,203.52,22,18,1
41541,18,24,9.5,207.36,10,5,1
41542,18,24,8.2,185.04,10,18,1
41543,54,6,8.2,44.058,10,18,1
41544,54,18,20.5,330.336,25,18,1
41545,145,2,85.5,145.72,90,5,1
41546,54,12,8.2,89.64,10,18,1
41547,54,15,8.2,110.13,10,18,1
41548,54,6,28.7,154.11,35,18,1
41549,54,6,41,220.74,50,18,1
41550,54,18,24.6,396.324,30,18,1
41551,180,5,57,238.1,60,5,1
41552,180,30,33.25,800.1,35,5,1
41554,195,2,245.18,447.26,299,18,1
41555,195,6,90.2,494.34,110,18,1
41556,195,5,90.2,411.95,110,18,1
41557,195,3,200.9,548.49,245,18,1
41558,195,2,188.6,345.26,230,18,1
41559,195,3,196.8,536.73,240,18,1
41560,54,24,4.1,88.08,5,18,1
41561,54,12,20.5,220.2,25,18,1
41562,54,12,8.2,88.104,10,18,1
41563,195,3,155.8,403.23,190,18,1
41564,195,10,16.4,151.02,20,18,1
41565,195,3,81.18,214.5,99,18,1
41566,195,6,86.1,466.08,105,18,1
41567,195,3,45.1,135.918,55,18,1
41568,195,6,94.05,514.26,99,5,1
41569,195,3,189.05,516.87,199,5,1
41570,195,4,84.46,304.44,103,18,1
41571,195,2,139.4,245.55,170,18,1
41572,195,4,184.5,674.84,225,18,1
41573,195,1,237.8,218.14,290,18,1
41574,195,24,8.2,181.08,10,18,1
41575,195,3,90.2,233.448,110,18,1
41576,195,3,81.18,214.5,99,18,1
41577,195,3,123,297.129,150,18,1
41578,195,24,4.1,90.528,5,18,1
41579,195,45,4.1,172.845,5,18,1
41580,195,16,8.2,122.448,10,18,1
41581,195,8,28.7,219.68,35,18,1
41582,195,30,6.16,154.74,7,12,1
41583,195,8,8.2,62.8,10,18,1
41584,195,45,4.1,172.8,5,18,1
41585,195,5,41,156.95,50,18,1
41586,195,12,24.6,234.72,30,18,1
41587,195,3,94.3,244.08,115,18,1
41588,195,4,65.6,212.24,80,18,1
41589,195,2,139.4,231.1,170,18,1
41590,195,6,24.6,135.888,30,18,1
41591,195,2,245.18,447.26,299,18,1
41592,263,5,28.16,98.2,32,12,1
41593,263,2,44,66.06,50,12,1
41594,263,5,30.8,111.6,35,12,1
41595,263,5,39.6,156.25,45,12,1
41596,263,1,79.2,59.82,90,12,1
41597,263,10,24.6,211.8,30,18,1
41598,263,10,33.25,257.1,35,5,1
41599,263,10,33.25,257.1,35,5,1
41600,263,3,80.75,185.7,85,5,1
41601,263,10,8.8,75.8,10,12,1
41602,263,10,8.8,75.8,10,12,1
41603,263,10,8.8,75.8,10,12,1
41604,263,10,8.8,75.8,10,12,1
41605,263,10,8.8,75.8,10,12,1
41606,263,10,8.8,75.8,10,12,1
41607,263,3,32.8,68.64,40,18,1
41608,263,3,59.04,124.56,72,18,1
41609,263,3,36.9,83.88,45,18,1
41610,270,3,162.8,412.95,185,12,1
41611,270,3,162.8,412.95,185,12,1
41612,270,3,211.2,535.71,240,12,1
41613,270,3,211.2,535.71,240,12,1
41614,270,3,211.2,535.71,240,12,1
41615,270,3,215.6,546.87,245,12,1
41616,270,3,175.12,468.75,199,12,1
41617,270,3,198,502.23,225,12,1
41618,270,3,83.6,212.04,95,12,1
41619,270,3,175.12,468.75,199,12,1
41620,270,3,110,279,125,12,1
41621,270,3,149.6,379.47,170,12,1
41622,270,3,140.8,357.15,160,12,1
41623,270,8,39.6,267.84,45,12,1
41624,270,2,158.4,267.86,180,12,1
41625,59,12,18,186.36,25,28,1
41626,59,6,18,93.18,25,28,1
41627,59,12,36,372.6,50,28,1
41628,59,12,17.6,186.24,20,12,1
41629,59,24,32.56,720.48,37,12,1
41630,59,2,15.58,0,19,18,1
41631,59,2,15.58,0,19,18,1
41632,59,14,10.8,124.88,15,28,1
41633,59,12,17.6,186.24,20,12,1
41634,59,12,20.5,230.88,25,18,1
41635,59,14,16.4,206.22,20,18,1
41636,59,14,10.8,173.88,15,28,1
41637,59,14,12.96,173.88,18,28,1
41638,59,14,12.96,173.88,18,28,1
41639,59,14,12.96,173.88,18,28,1
41640,59,3,43.2,116.97,60,28,1
41641,59,3,64.8,175.23,90,28,1
41642,122,12,30,204,30,0,1
41643,59,3,43.2,116.97,60,28,1
41644,122,12,30,216,30,0,1
41645,122,5,45,175,45,0,1
41646,59,24,14.76,288,18,18,1
41647,59,9,28.7,225.36,35,18,1
41648,59,15,17.6,232.8,20,12,1
41649,59,12,22,243.48,25,12,1
41650,122,6,100,450,100,0,1
41651,59,12,66,730.44,75,12,1
41652,59,6,64.8,350.46,90,28,1
41653,122,12,50,540,50,0,1
41654,59,6,64.8,350.46,90,28,1
41655,59,12,28.8,306.36,40,28,1
41656,59,12,28.8,306.36,40,28,1
41657,59,24,28.8,612.72,40,28,1
41658,59,12,28.8,306.36,40,28,1
41659,59,40,8.8,310.4,10,12,1
41660,172,4,50,160,50,0,1
41661,94,20,44.28,847.46,54,18,1
41662,94,24,4.1,94.7784,5,18,1
